Name,MOA phase,Field,Chip,RA,Dec,Remarks,RA_deg,Dec_deg
MOA-2009-BLG-001,MOA-2,gb1,4,+17:46:41.2469,-34:37:09.4008,,266.6718620833333,-34.619278
MOA-2009-BLG-002,MOA-2,gb5,2,+17:52:27.4402,-28:53:29.9400,,268.11433416666665,-28.89165
MOA-2009-BLG-003,MOA-2,gb5,3,+17:52:06.7702,-29:13:02.4024,,268.02820916666667,-29.217333999999997
MOA-2009-BLG-004,MOA-2,gb5,5,+17:53:02.8711,-30:00:27.8820,,268.2619629166666,-30.007745
MOA-2009-BLG-005,MOA-2,gb5,8,+17:56:35.2282,-29:14:08.6856,,269.1467841666667,-29.235746000000002
MOA-2009-BLG-006,MOA-2,gb8,2,+17:59:07.5811,-30:43:59.9124,,269.78158791666664,-30.733309
MOA-2009-BLG-007,MOA-2,gb16,5,+18:11:53.2030,-30:00:02.3076,,272.97167916666666,-30.000641
MOA-2009-BLG-008,MOA-2,gb9,10,+18:02:19.8149,-28:37:51.8088,,270.5825620833333,-28.631058
MOA-2009-BLG-009,MOA-2,gb9,4,+17:59:44.2867,-29:41:07.5804,,269.93452791666664,-29.685439
MOA-2009-BLG-010,MOA-2,gb10,6,+18:02:43.8475,-28:03:54.0576,,270.68269791666665,-28.065016
MOA-2009-BLG-011,MOA-2,gb13,4,+18:04:20.9604,-29:31:08.9616,,271.087335,-29.519156
MOA-2009-BLG-012,MOA-2,gb15,7,+18:07:24.8508,-26:12:57.1896,,271.853545,-26.215885999999998
MOA-2009-BLG-013,MOA-2,gb18,3,+18:10:26.8807,-25:49:51.1140,,272.61200291666665,-25.830865
MOA-2009-BLG-014,MOA-2,gb1,5,+17:45:29.0940,-35:00:08.3988,,266.371225,-35.002333
MOA-2009-BLG-015,MOA-2,gb1,7,+17:48:35.1722,-34:34:24.6864,,267.1465508333333,-34.573524000000006
MOA-2009-BLG-016,MOA-2,gb1,8,+17:50:32.0832,-34:21:10.0620,,267.6336799999999,-34.352795
MOA-2009-BLG-017,MOA-2,gb3,10,+17:54:42.1416,-32:05:31.4556,,268.67558999999994,-32.092071000000004
