Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2008-SMC-001,SMC111.7,18715,1:02:37.47,-73:22:25.8,2454476.072,2008-01-10.57,51.032,0.121,8.289,2.296,1.0,20.479,20.479,15.656125,-73.37383333333332
2008-BLG-001,BLG102.1,202864,17:57:13.80,-29:40:47.1,2454513.0,2008-02-16.50,42.750,0.093,10.839,2.587,0.248,16.984,18.5,269.30749999999995,-29.679750000000002
2008-BLG-002,BLG103.7,93812,17:55:20.56,-30:08:56.5,2454517.54,2008-02-21.04,16.767,0.411,2.585,1.031,0.513,16.462,17.187,268.83566666666667,-30.14902777777778
2008-BLG-003,BLG104.2,142466,17:59:31.89,-29:29:37.2,2454514.193,2008-02-17.69,97.090,0.013,78.266,4.734,0.061,18.799,21.844,269.88287499999996,-29.493666666666666
2008-BLG-004,BLG104.5,64933,17:58:10.70,-29:15:53.6,2454521.168,2008-02-24.67,18.106,0.145,6.950,2.105,1.0,16.611,16.611,269.54458333333326,-29.26488888888889
2008-BLG-005,BLG104.8,34989,17:58:43.09,-29:45:14.2,2454534.171,2008-03-08.67,17.577,0.505,2.165,0.839,1.0,14.733,14.733,269.6795416666666,-29.753944444444443
2008-BLG-006,BLG121.1,57300,17:47:22.08,-35:01:43.4,2454525.101,2008-02-28.60,70.403,0.299,3.452,1.345,1.0,19.44,19.44,266.842,-35.02872222222222
2008-BLG-007,BLG130.1,60,17:46:33.56,-34:28:54.7,2454534.013,2008-03-08.51,28.009,1.397,1.159,0.161,1.0,15.577,15.577,266.6398333333333,-34.481861111111115
2008-BLG-008,BLG130.2,112092,17:46:42.67,-34:12:25.5,2454491.372,2008-01-25.87,43.001,0.000,2591.3,8.534,1.0,19.829,19.829,266.6777916666666,-34.20708333333334
2008-BLG-009,BLG131.3,34244,17:49:21.02,-34:09:32.1,2454529.749,2008-03-04.25,28.962,0.788,1.547,0.474,1.0,18.509,18.509,267.33758333333327,-34.15891666666666
2008-BLG-010,BLG147.4,131530,17:50:14.22,-32:44:25.9,2454511.658,2008-02-15.16,72.709,0.083,12.012,2.699,0.053,16.343,19.536,267.55924999999996,-32.74052777777778
2008-BLG-011,BLG148.1,144855,17:53:20.45,-33:12:54.7,2454512.236,2008-02-15.74,44.934,0.299,3.461,1.348,0.604,16.817,17.364,268.3352083333333,-33.21519444444445
2008-BLG-012,BLG163.4,132033,17:53:48.83,-31:32:45.8,2454501.089,2008-02-04.59,9.322,0.576,1.945,0.722,1.0,16.212,16.212,268.4534583333333,-31.546055555555558
2008-BLG-013,BLG171.4,59403,17:53:34.58,-31:01:12.4,2454577.101,2008-04-20.60,74.357,0.023,43.090,4.086,0.93,16.127,16.206,268.3940833333333,-31.02011111111111
2008-BLG-014,BLG195.4,158721,17:54:11.46,-28:57:26.3,2454512.188,2008-02-15.69,23.270,0.303,3.410,1.332,0.047,15.155,18.468,268.54774999999995,-28.957305555555553
2008-BLG-015,BLG208.5,79037,18:04:37.48,-28:39:54.3,2454510.511,2008-02-14.01,6.526,1.105,1.276,0.265,1.0,17.918,17.918,271.15616666666665,-28.66508333333333
2008-BLG-016,BLG215.5,90015,17:59:50.25,-28:05:34.8,2454515.183,2008-02-18.68,6.370,0.332,3.132,1.239,1.0,17.833,17.833,269.959375,-28.093
2008-BLG-017,BLG216.7,20733,18:01:50.57,-28:25:38.1,2454512.189,2008-02-15.69,4.665,0.000,8222.1,9.787,1.0,19.78,19.78,270.4607083333333,-28.42725
2008-BLG-018,BLG102.3,212845,17:57:16.91,-29:23:43.4,2454511.557,2008-02-15.06,14.895,0.000,251596,13.502,1.0,16.34,16.34,269.3204583333333,-29.39538888888889
2008-BLG-019,BLG103.5,78135,17:55:57.23,-29:52:52.5,2454483.554,2008-01-18.05,21.827,0.678,1.717,0.587,1.0,15.69,15.69,268.9884583333333,-29.88125
2008-BLG-020,BLG121.1,7858,17:46:56.12,-35:05:34.2,2454551.65,2008-03-26.15,103.531,0.432,2.472,0.983,0.356,15.926,17.046,266.7338333333333,-35.09283333333334
2008-BLG-021,BLG164.4,120421,17:55:41.88,-31:34:01.6,2454529.422,2008-03-03.92,38.661,1.213,1.224,0.219,1.0,17.829,17.829,268.92449999999997,-31.56711111111111
2008-BLG-022,BLG171.3,91313,17:53:28.35,-31:10:08.2,2454533.697,2008-03-08.20,15.585,0.327,3.180,1.256,0.716,17.14,17.503,268.36812499999996,-31.168944444444445
2008-BLG-023,BLG180.5,34362,17:52:27.49,-30:28:49.7,2454504.756,2008-02-08.26,9.516,0.800,1.532,0.463,1.0,16.687,16.687,268.11454166666664,-30.48047222222222
2008-BLG-024,BLG206.3,135484,18:01:05.31,-28:47:35.2,2454499.179,2008-02-02.68,59.343,1.744,1.089,0.093,1.0,16.122,16.122,270.27212499999996,-28.793111111111113
2008-BLG-025,BLG206.6,107584,17:59:00.02,-28:48:03.1,2454511.758,2008-02-15.26,22.929,0.285,3.610,1.394,0.49,18.173,18.947,269.75008333333335,-28.80086111111111
2008-BLG-026,BLG207.5,138776,18:01:55.64,-28:37:43.4,2454508.683,2008-02-12.18,63.895,0.103,9.770,2.475,1.0,19.737,19.737,270.48183333333327,-28.628722222222223
2008-BLG-027,BLG223.3,12045,17:59:46.97,-27:40:50.7,2454516.824,2008-02-20.32,5.295,0.365,2.874,1.146,1.0,18.528,18.528,269.94570833333336,-27.68075
2008-BLG-028,BLG223.8,120683,17:58:32.90,-27:53:04.5,2454509.948,2008-02-13.45,11.864,0.981,1.356,0.330,1.0,17.068,17.068,269.63708333333324,-27.88458333333333
2008-BLG-029,BLG100.8,6559,17:49:56.43,-30:16:35.3,2454516.94,2008-02-20.44,7.337,0.100,10.086,2.509,1.0,19.88,19.88,267.485125,-30.27647222222222
2008-BLG-030,BLG105.6,48832,18:00:29.47,-29:23:48.0,2454495.246,2008-01-29.75,23.083,0.782,1.555,0.480,1.0,16.401,16.401,270.1227916666666,-29.396666666666665
2008-BLG-031,BLG188.1,84988,18:00:14.34,-30:18:52.7,2454513.063,2008-02-16.56,25.390,0.087,11.576,2.659,0.085,13.853,16.524,270.05974999999995,-30.31463888888889
2008-BLG-032,BLG188.6,39042,17:58:39.97,-30:03:40.4,2454584.724,2008-04-28.22,788.132,1.972,1.063,0.067,1.0,17.405,17.405,269.66654166666666,-30.061222222222224
2008-BLG-033,BLG217.4,46907,18:05:23.85,-28:04:10.2,2454531.041,2008-03-05.54,37.001,0.436,2.452,0.974,1.0,17.445,17.445,271.34937499999995,-28.0695
2008-BLG-034,BLG234.5,110563,18:04:14.75,-26:52:07.6,2454512.187,2008-02-15.69,62.078,0.356,2.942,1.171,1.0,18.775,18.775,271.0614583333333,-26.86877777777778
2008-BLG-035,BLG188.5,61372,17:57:53.83,-29:50:17.9,2454569.25,2008-04-12.75,29.282,0.948,1.381,0.351,1.0,15.884,15.884,269.47429166666666,-29.838305555555554
2008-BLG-036,BLG188.3,112635,17:59:13.61,-29:59:06.9,2454532.513,2008-03-07.01,18.174,0.397,2.666,1.065,1.0,19.535,19.535,269.8067083333333,-29.98525
2008-BLG-037,BLG206.3,41630,18:01:05.06,-28:50:46.9,2454525.001,2008-02-28.50,8.447,0.710,1.663,0.552,1.0,18.439,18.439,270.2710833333333,-28.84636111111111
2008-BLG-038,BLG241.2,83500,18:07:05.66,-26:36:33.2,2454588.401,2008-05-01.90,87.566,0.157,6.418,2.019,0.375,18.111,19.175,271.7735833333333,-26.609222222222222
2008-BLG-039,BLG139.3,30333,17:49:08.17,-33:36:09.5,2454524.71,2008-02-28.21,10.573,0.984,1.354,0.329,1.0,18.482,18.482,267.2840416666666,-33.60263888888889
2008-BLG-040,BLG235.3,167537,18:08:57.08,-26:59:11.9,2454529.343,2008-03-03.84,16.810,0.407,2.607,1.040,1.0,18.913,18.913,272.2378333333333,-26.98663888888889
2008-BLG-041,BLG104.5,24009,17:58:19.12,-29:17:50.1,2454528.46,2008-03-02.96,37.042,0.058,17.130,3.084,0.514,18.197,18.92,269.57966666666664,-29.297250000000002
2008-BLG-042,BLG155.6,106217,17:51:31.97,-32:18:10.9,2454533.548,2008-03-08.05,4.540,0.122,8.245,2.290,1.0,16.582,16.582,267.88320833333336,-32.30302777777778
2008-BLG-043,BLG179.2,90216,17:51:16.77,-30:44:44.2,2454529.641,2008-03-04.14,3.928,1.348,1.174,0.174,1.0,15.99,15.99,267.81987499999997,-30.745611111111113
2008-BLG-044,BLG180.4,102767,17:53:59.40,-30:26:16.4,2454572.683,2008-04-16.18,101.967,0.210,4.841,1.712,0.133,17.002,19.193,268.49749999999995,-30.43788888888889
2008-BLG-045,BLG180.4,166170,17:52:45.91,-30:21:51.2,2454551.958,2008-03-26.46,50.960,0.822,1.505,0.444,1.0,18.069,18.069,268.19129166666664,-30.364222222222224
2008-BLG-046,BLG181.5,40092,17:53:59.40,-30:26:16.4,2454573.114,2008-04-16.61,115.225,0.175,5.789,1.907,0.107,16.911,19.337,268.49749999999995,-30.43788888888889
2008-BLG-047,BLG185.8,74205,18:04:40.37,-30:51:28.4,2454541.858,2008-03-16.36,16.650,0.246,4.162,1.548,0.327,17.559,18.774,271.1682083333333,-30.85788888888889
2008-BLG-048,BLG196.4,170277,18:04:53.01,-29:11:02.8,2454535.237,2008-03-09.74,14.773,1.133,1.261,0.252,1.0,17.813,17.813,271.2208749999999,-29.18411111111111
2008-BLG-049,BLG190.3,77924,18:04:30.63,-29:57:55.3,2454534.055,2008-03-08.55,15.167,1.604,1.112,0.115,1.0,17.244,17.244,271.1276249999999,-29.96536111111111
2008-BLG-050,BLG205.6,83251,17:56:04.57,-28:47:05.0,2454536.365,2008-03-10.87,3.313,0.000,561120,14.373,1.0,18.823,18.823,269.0190416666666,-28.784722222222225
2008-BLG-051,BLG217.6,162627,18:04:43.62,-28:10:16.7,2454630.427,2008-06-12.93,286.473,0.367,2.864,1.142,0.06,16.444,19.498,271.18174999999997,-28.171305555555556
2008-BLG-052,BLG218.2,5666,18:08:08.01,-28:25:13.0,2454531.195,2008-03-05.70,42.375,1.359,1.171,0.171,1.0,18.117,18.117,272.0333749999999,-28.42027777777778
2008-BLG-053,BLG100.7,62122,17:50:48.59,-30:05:45.2,2454535.335,2008-03-09.84,14.388,0.283,3.636,1.402,1.0,20.345,20.345,267.7024583333333,-30.095888888888886
2008-BLG-054,BLG104.6,163701,17:58:30.67,-29:20:05.3,2454535.403,2008-03-09.90,19.922,0.033,30.520,3.711,0.078,17.37,20.143,269.6277916666666,-29.334805555555555
2008-BLG-055,BLG149.8,2266,17:53:58.42,-33:17:41.1,2454529.678,2008-03-04.18,38.869,0.055,18.145,3.147,0.334,18.836,20.026,268.49341666666663,-33.29475
2008-BLG-056,BLG163.1,66746,17:52:47.97,-32:01:47.4,2454535.235,2008-03-09.73,5.897,0.226,4.505,1.634,1.0,19.876,19.876,268.19987499999996,-32.02983333333333
