HJD,flux,cor_flux,flux_err,obsID,JD,fwhm,sky,airmass,nstar,scale,exptime,skydiff,chisq,npix,airmass1,ang1,included
3824.08604,1341.823608,,1737.111206,335,3824.084877,2.14565,3365.32,1.43956,233,1.61426,100,21.4912,3012.259,193,,,False
3824.1256,-34.640141,,1093.96228,336,3824.124432,1.82808,3220.94,1.23295,134,1.62276,100,17.8963,2627.5818,193,,,False
3824.16417,-347.269318,,1412.932983,337,3824.162996,1.70258,3506.94,1.11166,70,1.62168,100,10.377,4663.867,193,,,False
3824.18966,915.078003,,1314.040161,338,3824.188485,1.94331,3137.83,1.06085,191,1.64444,100,22.5253,3786.74,193,,,False
3825.08795,401.23584,,1412.992798,339,3825.086691,1.88376,3199.88,1.41175,194,1.59037,100,16.4,5270.421,193,,,False
3825.12706,54.608025,,1154.268311,340,3825.125799,1.81092,3015.21,1.21633,122,1.6015,100,18.5111,5263.1533,193,,,False
3825.17161,2825.524902,,1086.907227,341,3825.170339,1.88476,2862.23,1.0888,188,1.6238,100,9.3062,3577.4539,193,,,False
3825.21401,3639.082031,,1145.216919,342,3825.212737,1.65024,2700.8,1.02885,246,1.63578,100,-10.9175,7837.5757,193,,,False
3837.11197,21251.132812,,2565.010498,343,3837.109593,2.46781,5271.75,1.16059,168,1.56051,100,43.1926,2530.8757,193,,,False
3837.15869,21005.824219,30330.13395,2437.528076,344,3837.156307,2.603,5141.57,1.05573,152,1.49948,100,28.0991,1858.4365,193,1.0546,0.2893,True
3837.19956,21715.515625,,2789.530518,345,3837.197173,2.68395,4457.4,1.01803,143,1.56996,100,41.4186,2340.5066,193,,,False
3837.24742,23501.53125,,3536.692627,346,3837.245028,2.82178,3923.43,1.02672,127,1.54808,100,49.7403,2331.1665,193,,,False
3839.05781,19674.425781,,1974.601929,347,3839.055263,2.04011,10159.3,1.36956,244,1.57253,100,19.7598,2898.8657,193,,,False
3839.0976,20201.677734,,1677.643311,348,3839.09505,2.06613,9211.45,1.18967,211,1.59738,100,15.9278,2112.5222,193,,,False
3839.13728,20800.634766,,1782.290405,349,3839.13472,2.05307,8632.57,1.08397,221,1.60426,100,9.8607,2534.8386,193,,,False
3839.17707,18922.576172,,1461.043579,350,3839.174513,1.7785,8188.92,1.02885,117,1.60365,100,9.4016,4834.828,193,,,False
3839.21654,22514.902344,33693.531103,1417.267944,351,3839.213976,2.03907,8179.39,1.01512,228,1.58706,100,29.4369,1291.6084,193,1.0174,-0.044,True
3842.98969,21067.193359,30619.170834,3411.62085,352,3842.986802,2.801,18583.5,1.87142,142,1.51266,100,59.9771,1306.9448,193,1.8562,0.9808,True
