Name,MOA phase,Field,Chip,RA,Dec,Remarks,RA_deg,Dec_deg
MOA-2007-BLG-001,MOA-2,gb8,8,18:00:23.929,-31:02:49.01,,270.09970416666664,-31.046947222222222
MOA-2007-BLG-002,MOA-2,gb12,2,18:05:34.722,-30:44:19.92,,271.39467499999995,-30.738866666666667
MOA-2007-BLG-003,MOA-2,gb1,3,17:44:27.257,-34:16:40.95,,266.1135708333333,-34.27804166666667
MOA-2007-BLG-004,MOA-2,gb4,4,17:52:09.253,-31:27:03.08,,268.03855416666664,-31.450855555555556
MOA-2007-BLG-005,MOA-2,gb10,1,17:57:16.983,-26:52:37.30,,269.3207625,-26.87702777777778
MOA-2007-BLG-006,MOA-2,gb17,4,18:09:44.630,-27:54:11.35,,272.4359583333333,-27.903152777777777
MOA-2007-BLG-007,MOA-2,gb10,8,18:01:51.759,-27:36:26.52,,270.46566249999995,-27.607366666666667
MOA-2007-BLG-008,MOA-2,gb5,2,17:52:30.439,-28:53:52.67,,268.12682916666665,-28.89796388888889
MOA-2007-BLG-009,MOA-2,gb5,3,17:53:26.033,-29:15:46.82,,268.3584708333333,-29.263005555555555
MOA-2007-BLG-010,MOA-2,gb10,5,17:57:14.773,-28:08:46.90,,269.31155416666667,-28.146361111111112
MOA-2007-BLG-011,MOA-2,gb22,3,18:33:49.395,-23:48:58.10,,278.4558125,-23.81613888888889
MOA-2007-BLG-012,MOA-2,gb5,3,17:52:05.299,-29:14:06.46,,268.02207916666663,-29.23512777777778
MOA-2007-BLG-013,MOA-2,gb1,10,17:49:21.393,-33:38:24.27,,267.33913749999994,-33.640075
MOA-2007-BLG-014,MOA-2,gb7,5,17:58:09.459,-33:25:57.31,,269.5394124999999,-33.43258611111111
MOA-2007-BLG-015,MOA-2,gb10,2,17:59:01.423,-27:06:42.96,,269.75592916666665,-27.111933333333333
MOA-2007-BLG-016,MOA-2,gb4,2,17:52:48.374,-30:42:24.14,,268.2015583333333,-30.706705555555555
MOA-2007-BLG-017,MOA-2,gb10,4,17:59:05.021,-27:44:40.34,,269.7709208333333,-27.74453888888889
MOA-2007-BLG-018,MOA-2,gb3,7,17:56:57.237,-33:03:02.27,,269.23848749999996,-33.05063055555555
MOA-2007-BLG-019,MOA-2,gb5,3,17:52:55.889,-29:05:42.93,,268.23287083333327,-29.095258333333334
MOA-2007-BLG-020,MOA-2,gb10,3,17:58:25.126,-27:22:45.97,,269.6046916666666,-27.37943611111111
MOA-2007-BLG-021,MOA-2,gb10,5,17:57:46.110,-28:15:36.26,,269.4421249999999,-28.260072222222224
MOA-2007-BLG-022,MOA-2,gb15,2,18:04:39.813,-25:15:51.75,,271.16588749999994,-25.264375
MOA-2007-BLG-023,MOA-2,gb1,2,17:44:55.805,-33:52:05.67,,266.23252083333335,-33.86824166666667
MOA-2007-BLG-024,MOA-2,gb3,2,17:51:47.706,-32:29:52.76,,267.94877499999996,-32.49798888888889
MOA-2007-BLG-025,MOA-2,gb3,9,17:56:42.922,-32:17:01.09,,269.17884166666664,-32.28363611111111
MOA-2007-BLG-026,MOA-2,gb17,2,18:09:30.239,-27:07:53.87,,272.37599583333326,-27.131630555555557
MOA-2007-BLG-027,MOA-2,gb14,3,18:04:17.003,-27:36:35.64,,271.0708458333333,-27.6099
MOA-2007-BLG-028,MOA-2,gb1,3,17:44:52.921,-34:21:36.48,,266.2205041666666,-34.36013333333334
MOA-2007-BLG-029,MOA-2,gb1,10,17:49:29.386,-33:27:24.22,,267.37244166666665,-33.45672777777778
