Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2012-BLG-0001,BLG500.01,35204,17:54:21.89,-29:01:26.9,2455963.35,2012-02-05.85,26.566,0.376,2.801,1.118,0.434,18.32,19.227,268.59120833333327,-29.02413888888889
2012-BLG-0002,BLG500.01,179141,17:53:54.29,-29:09:27.4,2456000.806,2012-03-14.31,37.415,0.394,2.683,1.071,0.787,17.015,17.276,268.4762083333333,-29.15761111111111
2012-BLG-0003,BLG500.10,131334,17:53:16.49,-28:45:05.5,2455948.445,2012-01-21.95,22.645,0.0,45049.0,11.634,1.0,18.521,18.521,268.3187083333333,-28.751527777777778
2012-BLG-0004,BLG500.18,120128,17:54:00.76,-28:28:59.0,2455971.038,2012-02-13.54,15.706,0.181,5.606,1.872,1.0,20.093,20.093,268.5031666666666,-28.483055555555556
2012-BLG-0005,BLG501.01,32832,17:54:22.45,-30:10:58.8,2455948.853,2012-01-22.35,179.801,0.157,6.439,2.022,0.044,17.063,20.464,268.5935416666666,-30.183
2012-BLG-0006,BLG501.06,71011,17:50:34.09,-30:13:54.8,2455978.918,2012-02-21.42,32.359,1.214,1.223,0.219,1.0,17.096,17.096,267.6420416666666,-30.231888888888886
2012-BLG-0007,BLG501.11,189913,17:52:22.32,-29:59:14.9,2455969.378,2012-02-11.88,28.609,1.405,1.157,0.159,1.0,16.902,16.902,268.09299999999996,-29.987472222222223
2012-BLG-0008,BLG501.17,95866,17:54:48.28,-29:34:15.9,2455947.495,2012-01-21.00,34.773,1.39,1.162,0.163,1.0,15.109,15.109,268.7011666666666,-29.571083333333334
2012-BLG-0009,BLG501.19,68711,17:53:31.89,-29:45:46.8,2455989.398,2012-03-02.90,115.449,0.213,4.772,1.697,0.546,17.208,17.865,268.38287499999996,-29.763
2012-BLG-0010,BLG504.03,210927,17:58:04.03,-28:22:04.1,2455987.296,2012-02-29.80,75.724,0.074,13.631,2.836,1.0,19.735,19.735,269.5167916666666,-28.367805555555556
2012-BLG-0011,BLG504.27,87336,17:59:03.94,-27:28:03.4,2455956.226,2012-01-29.73,31.43,1.077,1.291,0.278,1.0,16.671,16.671,269.76641666666666,-27.46761111111111
2012-BLG-0012,BLG505.01,4393,17:59:53.74,-29:47:07.6,2456029.784,2012-04-12.28,77.442,0.952,1.378,0.348,1.0,14.924,14.924,269.97391666666664,-29.785444444444447
2012-BLG-0013,BLG505.01,166565,17:59:25.01,-29:44:58.3,2455941.839,2012-01-15.34,22.343,1.478,1.138,0.141,1.0,15.775,15.775,269.8542083333333,-29.74952777777778
2012-BLG-0014,BLG505.02,56719,17:58:59.98,-29:46:40.1,2455974.51,2012-02-17.01,26.08,0.545,2.034,0.771,0.696,16.477,16.871,269.74991666666665,-29.777805555555556
2012-BLG-0015,BLG505.20,69912,17:58:27.45,-29:07:59.3,2455954.95,2012-01-28.45,8.708,0.457,2.356,0.931,1.0,17.021,17.021,269.61437499999994,-29.13313888888889
2012-BLG-0016,BLG505.20,194547,17:57:57.54,-29:06:58.6,2455964.293,2012-02-06.79,52.941,0.175,5.785,1.906,0.767,19.039,19.326,269.48974999999996,-29.11627777777778
2012-BLG-0017,BLG505.22,95843,17:56:58.28,-28:56:30.1,2455950.1,2012-01-23.60,11.156,0.0,4301.7,9.084,1.0,17.418,17.418,269.2428333333333,-28.941694444444444
2012-BLG-0018,BLG505.28,209507,17:58:03.01,-28:44:19.7,2455959.461,2012-02-01.96,14.648,0.836,1.49,0.433,1.0,18.318,18.318,269.51254166666666,-28.738805555555558
2012-BLG-0019,BLG505.28,233157,17:57:56.92,-28:36:38.6,2455972.583,2012-02-15.08,18.747,0.517,2.124,0.818,1.0,18.982,18.982,269.48716666666667,-28.610722222222222
2012-BLG-0020,BLG505.29,10342,17:57:49.40,-28:51:58.4,2455940.142,2012-01-13.64,105.823,0.0,42423.0,11.569,1.0,19.053,19.053,269.45583333333326,-28.866222222222223
2012-BLG-0021,BLG505.29,175326,17:57:18.35,-28:50:10.7,2455934.54,2012-01-08.04,76.937,0.482,2.251,0.881,0.191,16.969,18.767,269.3264583333333,-28.836305555555555
2012-BLG-0022,BLG512.06,72486,18:01:46.31,-29:06:31.6,2455965.813,2012-02-08.31,2.655,0.07,14.263,2.885,1.0,16.112,16.112,270.44295833333325,-29.108777777777778
2012-BLG-0023,BLG512.19,86257,18:04:38.98,-28:25:50.7,2456000.769,2012-03-14.27,130.104,0.202,5.017,1.751,0.187,15.001,16.823,271.1624166666666,-28.43075
2012-BLG-0024,BLG512.21,37127,18:03:22.50,-28:23:11.8,2455978.159,2012-02-20.66,30.551,0.127,7.909,2.245,0.924,17.193,17.279,270.84375,-28.38661111111111
2012-BLG-0025,BLG611.12,108598,17:35:25.34,-27:24:12.2,2455957.361,2012-01-30.86,33.358,0.188,5.386,1.828,1.0,19.98,19.98,263.8555833333333,-27.403388888888887
2012-BLG-0026,BLG611.23,43368,17:34:18.70,-27:08:33.9,2455991.476,2012-03-04.98,105.647,0.008,123.4,5.228,0.33,18.276,19.48,263.5779166666666,-27.14275
2012-BLG-0027,BLG611.30,22924,17:35:09.49,-26:40:35.8,2455963.305,2012-02-05.80,31.301,0.0,4123.9,9.038,0.127,19.702,21.94,263.78954166666665,-26.67661111111111
2012-BLG-0028,BLG613.27,101746,17:31:12.38,-28:53:39.3,2455955.115,2012-01-28.61,77.497,0.078,12.91,2.777,0.522,18.261,18.968,262.8015833333333,-28.89425
2012-BLG-0029,BLG615.28,90151,17:25:04.66,-29:24:03.1,2455973.41,2012-02-15.91,33.694,0.086,11.665,2.667,0.196,18.375,20.141,261.26941666666664,-29.40086111111111
2012-BLG-0030,BLG617.03,87926,17:16:31.48,-30:18:45.1,2455984.691,2012-02-27.19,51.56,0.006,155.5,5.48,1.0,20.065,20.065,259.1311666666666,-30.312527777777778
2012-BLG-0031,BLG500.06,3534,17:50:50.53,-29:10:48.8,2456021.784,2012-04-04.28,45.015,0.042,23.996,3.45,1.0,18.305,18.305,267.7105416666666,-29.180222222222223
2012-BLG-0032,BLG501.04,124323,17:51:54.97,-30:18:15.9,2456004.92,2012-03-18.42,26.572,0.799,1.534,0.464,0.782,16.262,16.529,267.97904166666666,-30.30441666666667
2012-BLG-0033,BLG501.09,93284,17:54:15.10,-29:55:06.0,2455975.875,2012-02-18.38,18.459,0.595,1.897,0.695,1.0,18.791,18.791,268.5629166666666,-29.918333333333333
2012-BLG-0034,BLG504.03,163595,17:57:56.92,-28:36:38.6,2455972.449,2012-02-14.95,21.385,0.507,2.159,0.836,1.0,18.842,18.842,269.48716666666667,-28.610722222222222
2012-BLG-0035,BLG504.23,56794,17:56:12.83,-27:54:31.1,2455975.925,2012-02-18.43,27.694,0.214,4.761,1.694,0.355,19.793,20.918,269.0534583333333,-27.908638888888888
2012-BLG-0036,BLG505.09,27543,17:59:58.49,-29:20:26.0,2455969.697,2012-02-12.20,6.143,0.642,1.789,0.632,1.0,18.715,18.715,269.9937083333333,-29.340555555555554
2012-BLG-0037,BLG505.13,133755,17:56:43.00,-29:22:58.6,2455973.229,2012-02-15.73,93.83,0.751,1.598,0.509,1.0,18.839,18.839,269.1791666666667,-29.382944444444444
2012-BLG-0038,BLG505.16,47749,17:54:46.32,-29:30:51.3,2455968.576,2012-02-11.08,28.721,0.687,1.702,0.577,1.0,16.21,16.21,268.693,-29.51425
2012-BLG-0039,BLG505.22,60224,17:56:56.02,-29:06:53.7,2455975.411,2012-02-17.91,6.967,1.85,1.076,0.079,1.0,15.405,15.405,269.23341666666664,-29.11491666666667
